Data Type,HTS Number,Description,2024,
FAS Value,0303,"FISH, FROZEN, EXCLUDING FISH FILLETS AND OTHER FISH MEAT WITHOUT BONES; FISH LIVERS AND ROES, FROZEN",1644471121.00,
FAS Value,0304,"FISH FILLETS AND OTHER FISH MEAT (WHETHER OR NOT MINCED), FRESH, CHILLED OR FROZEN",1193184474.00,
FAS Value,0305,"FISH, DRIED, SALTED OR IN BRINE; SMOKED FISH; FISH MEAL FIT FOR HUMAN CONSUMPTION",21398776.00,
FAS Value,0306,"CRUSTACEANS, LIVE FRESH CHILLED FROZEN DRIED ETC; SMOKED; IN SHELL, COOKED BY STEAM OR BOILING WATER; FLOURS, MEALS & PELLETS FOR HUMAN CONSUMPTION",961049930.00,
FAS Value,0307,"MOLLUSCS, LIVE, FRESH, CHILLED, FROZEN, DRIED, SALTED OR IN BRINE; SMOKED; FLOURS, MEALS AND PELLETS, FIT FOR HUMAN CONSUMPTION",402951793.00,
FAS Value,0308,"AQUATIC INVERTEBRATES OTHER THAN CRUSTACEANS & MOLLUSCS, LIVE, FRESH, CHILLED, FROZEN, DRIED, SALTED/ IN BRINE; SMOKED; EDIBLE FLOURS, MEALS & PELLETS",23779642.00,
FAS Value,0309,"FLOURS, MEALS AND PELLETS OF FISH, CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES, FIT FOR HUMAN CONSUMPTION",361280.00,
FAS Value,0401,"MILK AND CREAM, NOT CONCENTRATED NOR CONTAINING ADDED SWEETENING",155300083.00,
FAS Value,0402,"MILK AND CREAM, CONCENTRATED OR CONTAINING ADDED SWEETENING",2175376997.00,
FAS Value,0403,"BUTTERMILK, CURDLED MILK AND CREAM, YOGURT, KEPHIR ETC., WHETHER OR NOT FLAVORED ETC. OR CONTAINING ADDED FRUIT OR COCOA",158080433.00,
FAS Value,0404,"WHEY AND OTHER PRODUCTS CONSISTING OF NATURAL MILK CONSTITUENTS, WHETHER OR NOT CONCENTRATED OR SWEETENED, NESOI",844052544.00,
FAS Value,0405,BUTTER AND OTHER FATS AND OILS DERIVED FROM MILK,235550309.00,
FAS Value,0406,CHEESE AND CURD,2471989177.00,
FAS Value,0407,"BIRDS' EGGS, IN SHELL, FRESH, PRESERVED OR COOKED",598853224.00,
FAS Value,0408,"BIRDS' EGGS, NOT IN SHELL AND EGG YOLKS, FRESH, DRIED, COOKED BY STEAM ETC., MOLDED, FROZEN OR OTHERWISE PRESERVED, SWEETENED OR NOT",95768651.00,
FAS Value,0409,"HONEY, NATURAL",26340083.00,
FAS Value,0410,"EDIBLE PRODUCTS OF ANIMAL ORIGIN, NESOI",1394291.00,
FAS Value,0501,"HUMAN HAIR, UNWORKED, WHETHER OR NOT WASHED OR SCOURED; WASTE OF HUMAN HAIR",1181992.00,
FAS Value,0502,"PIGS', HOGS' OR BOARS' BRISTLES AND HAIR; BADGER AND OTHER BRUSHMAKING HAIR; WASTE OF SUCH BRISTLES OR HAIR",647904.00,
FAS Value,0504,"ANIMAL GUTS, BLADDERS AND STOMACHS (OTHER THAN FISH), WHOLE AND PIECES THEREOF, FRESH, CHILLED, FROZEN, SALTED, IN BRINE, DRIED OR SMOKED",579390501.00,
FAS Value,0505,"BIRD SKINS AND OTHER FEATHERED PARTS OF BIRDS, FEATHERS AND PARTS OF FEATHERS AND DOWN, NOT FURTHER WORKED THAN CLEANED ETC.",123313137.00,
FAS Value,0506,"BONES AND HORN-CORES, UNWORKED, DEFATTED, SIMPLY PREPARED (NOT CUT TO SHAPE), TREATED WITH ACID ETC.; POWDER AND WASTE OF THESE PRODUCTS",43936406.00,
FAS Value,0507,"IVORY, TORTOISE-SHELL, WHALEBONE AND WHALEBONE HAIR, HORNS, HOOVES, CLAWS ETC., UNWORKED OR SIMPLY PREPARED, NOT CUT TO SHAPE",2733217.00,
FAS Value,0508,"CORAL AND SIMILAR MATERIALS, MOLLUSCS, CRUSTACEANS, ECHINODERMS AND CUTTLEBONE SHELLS, UNWORKED OR SIMPLY PREPARED, NOT CUT TO SHAPE, POWDER AND WASTE",2548764.00,
FAS Value,0510,"AMBERGRIS, CASTOREUM, CIVET AND MUSK; CANTHARIDES; BILE; GLANDS AND OTHER ANIMAL PRODUCTS FOR USE IN PHARMACEUTICAL PRODUCTS, FRESH, FROZEN, ETC.",28122254.00,
FAS Value,0511,"ANIMAL PRODUCTS NESOI; DEAD ANIMALS (OF CHAPTER 1 OR 3), UNFIT FOR HUMAN CONSUMPTION",500884702.00,
FAS Value,0601,"BULBS, TUBERS, TUBEROUS ROOTS, CORMS ETC., DORMANT, IN GROWTH OR IN FLOWER; CHICORY PLANTS AND ROOTS FOR PLANTING",12107041.00,
FAS Value,0602,"LIVE PLANTS NESOI (INCLUDING THEIR ROOTS), CUTTINGS AND SLIPS; MUSHROOM SPAWN",362671428.00,
FAS Value,0603,"CUT FLOWERS AND BUDS SUITABLE FOR BOUQUETS OR ORNAMENTAL PURPOSES, FRESH, DRIED, DYED, BLEACHED, IMPREGNATED OR OTHERWISE PREPARED",20811388.00,
FAS Value,0604,"FOLIAGE, BRANCHES, GRASSES, MOSSES ETC. (NO FLOWERS OR BUDS), FOR BOUQUETS OR ORNAMENTAL PURPOSES, FRESH, DRIED, DYED, BLEACHED ETC.",84345122.00,
FAS Value,0701,"POTATOES (OTHER THAN SWEET POTATOES), FRESH OR CHILLED",338892888.00,
FAS Value,0702,"TOMATOES, FRESH OR CHILLED",428390645.00,
FAS Value,0703,"ONIONS, SHALLOTS, GARLIC, LEEKS AND OTHER ALLIACEOUS VEGETABLES, FRESH OR CHILLED",427155516.00,
FAS Value,0704,"CABBAGES, CAULIFLOWER, KOHLRABI, KALE AND SIMILAR EDIBLE BRASSICAS, FRESH OR CHILLED",509158261.00,
FAS Value,0705,"LETTUCE (LACTUCA SATIVA) AND CHICORY (CICHORIUM SPP.), FRESH OR CHILLED",638322716.00,
FAS Value,0706,"CARROTS, TURNIPS, SALAD BEETS, SALSIFY, RADISHES AND SIMILAR EDIBLE ROOTS, FRESH OR CHILLED",173420607.00,
FAS Value,0707,"CUCUMBERS AND GHERKINS, FRESH OR CHILLED",53282511.00,
FAS Value,0708,"LEGUMINOUS VEGETABLES, SHELLED OR UNSHELLED, FRESH OR CHILLED",131386099.00,
FAS Value,0709,"VEGETABLES NESOI, FRESH OR CHILLED",1077646560.00,
FAS Value,0710,"VEGETABLES (UNCOOKED OR COOKED BY STEAM OR BOILING WATER), FROZEN",253954449.00,
FAS Value,0711,"VEGETABLES PROVISIONALLY PRESERVED (BY SULFUR DIOXIDE GAS, IN BRINE ETC.), BUT UNSUITABLE IN THAT STATE FOR IMMEDIATE CONSUMPTION",10037642.00,
FAS Value,0712,"VEGETABLES, DRIED, WHOLE, CUT, SLICED, BROKEN OR IN POWDER, BUT NOT FURTHER PREPARED",239266071.00,
FAS Value,0713,"LEGUMINOUS VEGETABLES, DRIED SHELLED",1400748287.00,
FAS Value,0714,"CASSAVA (MANIOC), ARROWROOT, SALEP, JERUSALEM ARTICHOKES, SWEET POTATOES AND SIMILAR ROOTS ETC. (HIGH STARCH ETC. CONTENT), FRESH OR DRIED; SAGO PITH",204258317.00,
FAS Value,0801,"COCONUTS, BRAZIL NUTS AND CASHEW NUTS, FRESH OR DRIED",32766206.00,
FAS Value,0802,"NUTS NESOI, FRESH OR DRIED",9079092525.00,
FAS Value,0803,"BANANAS, INCLUDING PLANTAINS, FRESH OR DRIED",536707416.00,
FAS Value,0804,"DATES, FIGS, PINEAPPLES, AVOCADOS, GUAVAS, MANGOES AND MANGOSTEENS, FRESH OR DRIED",441032492.00,
FAS Value,0805,"CITRUS FRUIT, FRESH OR DRIED",890139462.00,
FAS Value,0806,"GRAPES, FRESH OR DRIED",1041147170.00,
FAS Value,0807,"MELONS (INCLUDING WATERMELONS) AND PAPAYAS (PAPAWS), FRESH",323475793.00,
FAS Value,0808,"APPLES, PEARS AND QUINCES, FRESH",1226713415.00,
FAS Value,0809,"APRICOTS, CHERRIES, PEACHES (INCLUDING NECTARINES), PLUMS (INCLUDING PRUNE PLUMS) AND SLOES, FRESH",746366326.00,
FAS Value,0810,"FRUIT NESOI, FRESH",1592759032.00,
FAS Value,0811,"FRUIT AND NUTS (UNCOOKED OR COOKED BY STEAM OR BOILING WATER), WHETHER NOT SWEETENED, FROZEN",302743238.00,
FAS Value,0812,"FRUIT AND NUTS PROVISIONALLY PRESERVED (BY SULFUR DIOXIDE GAS, IN BRINE ETC.), BUT UNSUITABLE IN THAT STATE FOR IMMEDIATE CONSUMPTION",6409272.00,
FAS Value,0813,"FRUIT, DRIED, NESOI (OTHER THAN THOSE OF HEADINGS 0801 TO 0806); MIXTURES OF NUTS OR DRIED FRUITS OF THIS CHAPTER",199298003.00,
FAS Value,0814,"PEEL OF CITRUS FRUIT OR MELONS (INCLUDING WATERMELONS), FRESH, FROZEN, DRIED OR PROVISIONALLY PRESERVED",2265944.00,
FAS Value,0901,"COFFEE, WHETHER OR NOT ROASTED OR DECAFFEINATED; COFFEE HUSKS AND SKINS; COFFEE SUBSTITUTES CONTAINING COFFEE",1078058226.00,
FAS Value,0902,"TEA, WHETHER OR NOT FLAVORED",97276547.00,
FAS Value,0903,MATE,294123.00,
FAS Value,0904,"PEPPER OF THE GENUS PIPER; FRUITS OF THE GENUS CAPSICUM (PEPPERS) OR OF THE GENUS PIMENTA, DRIED, CRUSHED OR GROUND",80256234.00,
FAS Value,0905,VANILLA,8182491.00,
FAS Value,0906,CINNAMON AND CINNAMON-TREE FLOWERS,18021054.00,
FAS Value,0907,"CLOVES (WHOLE FRUIT, CLOVES AND STEMS)",1506849.00,
FAS Value,0908,"NUTMEG, MACE AND CARDAMONS",3808318.00,
FAS Value,0909,"SEEDS OF ANISE, BADIAN, FENNEL, CORIANDER, CUMIN OR CARAWAY; JUNIPER BERRIES",9874664.00,
FAS Value,0910,"GINGER, SAFFRON, TUMERIC (CURCUMA), THYME, BAY LEAVES, CURRY AND OTHER SPICES",67080683.00,
FAS Value,1001,WHEAT AND MESLIN,5971624367.00,
FAS Value,1002,RYE,5086645.00,
FAS Value,1003,BARLEY,42493754.00,
FAS Value,1004,OATS,14585073.00,
FAS Value,1005,CORN (MAIZE),14342041436.00,
FAS Value,1006,RICE,2439625999.00,
FAS Value,1007,GRAIN SORGHUM,1458806217.00,
FAS Value,1008,"BUCKWHEAT, MILLET AND CANARY SEEDS; OTHER CEREALS (INCLUDING WILD RICE)",94191355.00,
FAS Value,1101,WHEAT OR MESLIN FLOUR,151103319.00,
FAS Value,1102,CEREAL FLOURS OTHER THAN OF WHEAT OR MESLIN,108251555.00,
FAS Value,1103,"CEREAL GROATS, MEAL AND PELLETS",149310387.00,
FAS Value,1104,"CEREAL GRAINS, OTHERWISE WORKED (HULLED, ROLLED ETC.), EXCEPT RICE (HEADING 1006); GERM OF CEREALS, WHOLE, ROLLED, FLAKED OR GROUND",147391205.00,
FAS Value,1105,"FLOUR, MEAL FLAKES, GRANULES AND PELLETS OF POTATOES",109165836.00,
FAS Value,1106,"FLOUR AND MEAL OF DRIED LEGUMINOUS VEGETABLES (HD. 0713), OF SAGO OR ROOTS ETC. (HD. 0714); FLOUR, MEAL AND POWDER OF FRUIT AND NUTS ETC. (CH. 8)",85621660.00,
FAS Value,1107,"MALT, WHETHER OR NOT ROASTED",276991098.00,
FAS Value,1108,STARCHES; INULIN,192789527.00,
FAS Value,1109,"WHEAT GLUTEN, WHETHER OR NOT DRIED",20411433.00,
FAS Value,1201,"SOYBEANS, WHETHER OR NOT BROKEN",24570058895.00,
FAS Value,1202,"PEANUTS (GROUND-NUTS), NOT ROASTED OR OTHERWISE COOKED, WHETHER OR NOT SHELLED OR BROKEN",634028514.00,
FAS Value,1204,"FLAXSEED (LINSEED), WHETHER OR NOT BROKEN",12375355.00,
FAS Value,1205,"RAPE OR COLZA SEEDS, WHETHER OR NOT BROKEN",201981877.00,
FAS Value,1206,"SUNFLOWER SEEDS, WHETHER OR NOT BROKEN",153350417.00,
FAS Value,1207,"OIL SEEDS AND OLEAGINOUS FRUITS NESOI, WHETHER OR NOT BROKEN",213237046.00,
FAS Value,1208,"FLOURS AND MEALS OF OIL SEEDS OR OLEAGINOUS FRUITS, OTHER THAN THOSE OF MUSTARD",1321183342.00,
FAS Value,1209,"SEEDS, FRUIT AND SPORES, OF A KIND USED FOR SOWING",1068279298.00,
FAS Value,1210,"HOP CONES, FRESH OR DRIED, WHETHER OR NOT GROUND, POWDERED OR IN THE FORM OF PELLETS; LUPULIN",250488704.00,
FAS Value,1211,"PLANTS AND PARTS OF PLANTS (INCLUDING SEEDS AND FRUITS), USED IN PERFUMERY, PHARMACY, OR FOR INSECTICIDAL OR SIMILAR PURPOSES, FRESH OR DRIED",160708711.00,
FAS Value,1212,"LOCUST BEANS, SEAWEEDS ETC., SUGAR BEET AND SUGAR CANE; FRUIT STONES AND KERNELS AND OTHER VEGETABLE PRODUCTS USED FOR HUMAN CONSUMPTION, NESOI",22952877.00,
FAS Value,1213,"CEREAL STRAW AND HUSKS, UNPREPARED, WHETHER OR NOT CHOPPED, GROUND, PRESSED OR IN THE FORM OF PELLETS",9353362.00,
FAS Value,1214,"RUTABAGAS (SWEDES), MANGOLDS, HAY, ALFALFA (LUCERNE), CLOVER, FORAGE KALE, LUPINES AND SIMILAR FORAGE PRODUCTS, WHETHER OR NOT IN THE FORM OF PELLETS",1366982768.00,
FAS Value,1301,"LAC; NATURAL GUMS, RESINS, GUM-RESINS AND BALSAMS",26921710.00,
FAS Value,1302,"VEGETABLE SAPS AND EXTRACTS; PECTIC SUBSTANCES, PECTINATES AND PECTATES; AGAR-AGAR AND OTHER MUCILAGES AND THICKENERS, DERIVED FROM VEGETABLE PRODUCTS",623286091.00,
FAS Value,1401,"VEGETABLE MATERIALS USED PRIMARILY FOR PLAITING, INCLUDING BAMBOOS, RATTANS, REEDS, RUSHES, OSIER, RAFFIA, PROCESSED CEREAL STRAW AND LIME BARK",1554353.00,
FAS Value,1404,"VEGETABLE PRODUCTS, NESOI",25355166.00,
FAS Value,1501,"PIG FAT (INCLUDING LARD) AND POULTRY FAT, OTHER THAN OF HEADING 0209 OR 1503",61398685.00,
FAS Value,1502,"FATS OF BOVINE ANIMALS, SHEEP OR GOATS, OTHER THAN THOSE OF HEADING 1503",208992982.00,
FAS Value,1503,"LARD STEARIN, LARD OIL, OLEOSTEARIN, OLEO-OIL AND TALLOW OIL, NOT EMULSIFIED OR MIXED OR OTHERWISE PREPARED",5024264.00,
FAS Value,1504,"FATS AND OILS AND THEIR FRACTIONS, OF FISH OR MARINE MAMMALS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED",222735194.00,
FAS Value,1505,"WOOL GREASE AND FATTY SUBSTANCES DERIVED THEREFROM, INCLUDING LANOLIN",6992288.00,
FAS Value,1506,"ANIMAL FATS AND OILS AND THEIR FRACTIONS, NESOI, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED",11781982.00,
FAS Value,1507,"SOYBEAN OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED",520212714.00,
FAS Value,1508,"PEANUT (GROUND-NUT) OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED",15675492.00,
FAS Value,1509,"OLIVE OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED",73117147.00,
FAS Value,1510,"OLIVE-RESIDUE OIL AND BLENDS OF OLIVE OIL AND OIL-RESIDUE OIL, NOT CHEMICALLY MODIFIED",1843540.00,
FAS Value,1511,"PALM OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED",157413181.00,
FAS Value,1512,"SUNFLOWER-SEED, SAFFLOWER OR COTTONSEED OIL, AND THEIR FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED",76638214.00,
FAS Value,1513,"COCONUT (COPRA), PALM KERNEL OR BABASSU OIL AND THEIR FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED",98751167.00,
FAS Value,1514,"RAPESEED, COLZA OR MUSTARD OIL AND THEIR FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED",94363605.00,
FAS Value,1515,"FIXED VEGETABLE FATS AND OILS (INCLUDING JOJOBA OIL) AND THEIR FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED",481862755.00,
FAS Value,1516,"ANIMAL OR VEGETABLE FATS AND OILS AND THEIR FRACTIONS, PARTLY OR WHOLLY HYDROGENATED ETC., WHETHER OR NOT REFINED, BUT NOT FURTHER PREPARED",122087976.00,
FAS Value,1517,MARGARINE; EDIBLE MIXTURES OR PREPARATIONS OF ANIMAL OR VEGETABLE FATS OR OILS OR OF FRACTIONS OF DIFFERENT SPECIFIED FATS AND OILS,322325204.00,
FAS Value,1518,"ANIMAL OR VEGETABLE FATS, OILS AND THEIR FRACTIONS, BOILED, OXIDIZED, ETC.; INEDIBLE MIXES OR PREPARATIONS OF ANIMAL OR VEGETABLE FATS AND OILS, NESOI",160197521.00,
FAS Value,1520,"GLYCEROL (GLYCERINE), WHETHER OR NOT PURE; GLYCEROL WATERS AND GLYCEROL LYES",26142628.00,
FAS Value,1521,"VEGETABLE WAXES (OTHER THAN TRIGLYCERIDES), BEESWAX, OTHER INSECT WAXES AND SPERMACETI, WHETHER OR NOT REFINED OR COLORED",32046503.00,
FAS Value,1522,DEGRAS; RESIDUES RESULTING FROM THE TREATMENT OF FATTY SUBSTANCES OR ANIMAL OR VEGETABLE WAXES,7490253.00,
FAS Value,1601,"SAUSAGES AND SIMILAR PRODUCTS, OF MEAT, MEAT OFFAL OR BLOOD; FOOD PREPARATIONS BASED ON THESE PRODUCTS",865714384.00,
FAS Value,1602,"PREPARED OR PRESERVED MEAT, MEAT OFFAL OR BLOOD, NESOI",1416061024.00,
FAS Value,1603,"EXTRACTS AND JUICES OF MEAT, FISH OR CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",9344308.00,
FAS Value,1604,PREPARED OR PRESERVED FISH; CAVIAR AND CAVIAR SUBSTITUTES PREPARED FROM FISH EGGS,245055895.00,
FAS Value,1605,"CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES, PREPARED OR PRESERVED",97304472.00,
FAS Value,1701,"CANE OR BEET SUGAR AND CHEMICALLY PURE SUCROSE, IN SOLID FORM",379476545.00,
FAS Value,1702,"SUGARS NESOI, INCLUDING CHEMICALLY PURE LACTOSE, MALTOSE, GLUCOSE AND FRUCTOSE IN SOLID FORM; SUGAR SYRUPS (PLAIN); ARTIFICIAL HONEY; CARAMEL",1791735491.00,
FAS Value,1703,MOLASSES RESULTING FROM THE EXTRACTION OR REFINING OF SUGAR,46612964.00,
FAS Value,1704,"SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA",783157764.00,
FAS Value,1801,"COCOA BEANS, WHOLE OR BROKEN, RAW OR ROASTED",669751856.00,
FAS Value,1802,"COCOA SHELLS, HUSKS, SKINS AND OTHER COCOA WASTE",290472.00,
FAS Value,1803,"COCOA PASTE, WHETHER OR NOT DEFATTED",86415354.00,
FAS Value,1804,"COCOA BUTTER, FAT AND OIL",220712865.00,
FAS Value,1805,"COCOA POWDER, NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER",139969845.00,
FAS Value,1806,CHOCOLATE AND OTHER FOOD PREPARATIONS CONTAINING COCOA,2139231929.00,
FAS Value,1901,"MALT EXTRACT; FOOD PREPARATIONS OF FLOUR, MEAL ETC. CONTAINING UNDER 40% COCOA NESOI; FOOD PREPARATIONS OF MILK ETC. CONTAINING UNDER 50% COCOA NESOI",1296679747.00,
FAS Value,1902,"PASTA, WHETHER OR NOT COOKED OR STUFFED OR OTHERWISE PREPARED, INCLUDING SPAGETTI, LASAGNA, NOODLES ETC.; COUSCOUS, WHETHER OR NOT PREPARED",520903952.00,
FAS Value,1903,"TAPIOCA AND SUBSTITUTES THEREFOR PREPARED FROM STARCH, IN THE FORM OF FLAKES, GRAINS, PEARLS, SIFTINGS OR SIMILAR FORMS",7302380.00,
FAS Value,1904,"PREPARED FOODS FROM SWELLING OR ROASTING CEREALS OR PRODUCTS; CEREALS (EXC CORN), IN GRAIN FORM FLAKES OR WORKED GRAIN PREPARED N.E.S.O.I",702372069.00,
FAS Value,1905,"BREAD, PASTRY, CAKES, BISUITS AND OTHER BAKERS' WARES; COMMUNION WAFERS, EMPTY CAPSULES FOR MEDICINE ETC., SEALING WAFERS, RICE PAPER ETC.",2632178308.00,
FAS Value,2001,"VEGETABLES, FRUIT, NUTS AND OTHER EDIBLE PARTS OF PLANTS, PREPARED OR PRESERVED BY VINEGAR OR ACETIC ACID",173303104.00,
FAS Value,2002,TOMATOES PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID,500451211.00,
FAS Value,2003,"MUSHROOMS AND TRUFFLES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID",2704770.00,
FAS Value,2004,"VEGETABLES, OTHER THAN TOMATOES, MUSHROOMS AND TRUFFLES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, FROZEN, EXC PRODUCTS OF 2006",1624342676.00,
FAS Value,2005,"VEGETABLES, OTHER THAN TOMATOES, MUSHROOMS AND TRUFFLES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, NOT FROZEN EXC PRDCTS OF 2006",606358229.00,
FAS Value,2006,"VEGETABLES, FRUIT, NUTS, FRUIT-PEEL AND OTHER PARTS OF PLANTS PRESERVED BY SUGAR (DRAINED, GLACE OR CRYSTALLIZED)",9363317.00,
FAS Value,2007,"JAMS, FRUIT JELLIES, MARMALADES, FRUIT OR NUT PUREE AND FRUIT OR NUT PASTES, BEING COOKED PREPARATIONS, WHETHER OR NOT CONTAINING ADDED SWEETENING",146630358.00,
FAS Value,2008,"FRUIT, NUTS AND OTHER EDIBLE PARTS OF PLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SWEETENING OR SPIRIT, NESOI",1933410963.00,
FAS Value,2009,"FRUIT JUICES NT FORTIFIED W VIT OR MINLS (INCL GRAPE MUST) & VEGETABLE JUICES, UNFERMENTD & NT CONTAING ADD SPIRIT, WHET OR NT CONTAING ADDED SWEETENG",841924256.00,
FAS Value,2101,"EXTRACTS, ESSENCES AND CONCENTRATES OF COFFEE, TEA OR MATE AND PREPARATIONS THEREOF; ROASTED CHICORY ETC. AND ITS EXTRACTS, ESSENCES AND CONCENTRATES",405160896.00,
FAS Value,2102,"YEASTS; OTHER SINGLE-CELL MICRO-ORGANISMS, DEAD (OTHER THAN MEDICINAL VACCINES OF HEADING 3002); PREPARED BAKING POWDERS",145282726.00,
FAS Value,2103,SAUCES AND PREPARATIONS THEREFOR; MIXED CONDIMENTS AND MIXED SEASONINGS; MUSTARD FLOUR AND MEAL AND PREPARED MUSTARD,2337882398.00,
FAS Value,2104,SOUPS AND BROTHS AND PREPARATIONS THEREFOR; HOMOGENIZED COMPOSITE FOOD PREPARATIONS,926828115.00,
FAS Value,2105,"ICE CREAM AND OTHER EDIBLE ICE, WHETHER OR NOT CONTAINING COCOA",243442439.00,
FAS Value,2106,FOOD PREPARATIONS NESOI,7250969000.00,
FAS Value,2201,"WATERS, INCLUDING NATURAL OR ARTIFICIAL MINERAL WATERS AND AERATED WATERS, NOT CONTAINING ADDED SWEETENING NOR FLAVORED; ICE AND SNOW",166635664.00,
FAS Value,2202,"WATERS, INCLUDING MINERAL WATERS AND AERATED WATERS, CONTAINING ADDED SWEETENING OR FLAVORED, AND OTHER NONALCOHOLIC BEVERAGES NESOI",1578705578.00,
FAS Value,2203,BEER MADE FROM MALT,384428755.00,
FAS Value,2204,"WINE OF FRESH GRAPES, INCLUDING FORTIFIED WINES; GRAPE MUST (HAVING AN ALCOHOLIC STRENGTH BY VOLUME EXCEEDING 0.5% VOL.) NESOI",1251773052.00,
FAS Value,2205,VERMOUTH AND OTHER WINE OF FRESH GRAPES FLAVORED WITH PLANTS OR AROMATIC SUBSTANCES,17607166.00,
FAS Value,2206,"FERMENTED BEVERAGES, NESOI (INCLUD CIDER, PERRY & MEAD); MIXTURES OF FERMENTED BEVERAGES & MIXTURES OF FERMNTD BEVERAGES & NON-ALCOHOL BEVERAGES NESOI",43541974.00,
FAS Value,2207,"ETHYL ALCOHOL, UNDENATURED, OF AN ALCOHOLIC STRENGTH BY VOLUME OF 80% VOL. OR HIGHER; ETHYL ALCOHOL AND OTHER SPIRITS, DENATURED, OF ANY STRENGTH",4426927212.00,
FAS Value,2208,"ETHYL ALCOHOL, UNDENATURED, OF AN ALCOHOLIC STRENGTH BY VOLUME OF UNDER 80% VOL.; SPIRITS, LIQUEURS AND OTHER SPIRITUOUS BEVERAGES",2938366682.00,
FAS Value,2209,VINEGAR AND SUBSTITUTES FOR VINEGAR OBTAINED FROM ACETIC ACID,92279989.00,
FAS Value,2301,"FLOURS, MEALS AND PELLETS, OF MEAT OR MEAT OFFAL, OF FISH OR OF CRUSTACEANS ETC., UNFIT FOR HUMAN CONSUMPTION; GREAVES (CRACKLINGS)",1008009980.00,
